"queue_order","queue_group","record_id","legacy_label","proposed_name","statutory_scope","citation","source_url","existing_status","triage_reason","evidence_or_hold_reason","scope_specific_question","en_explanation","es_explanation","zh_explanation","recovered_authorities_pending_work","attorney_decision","attorney_notes","reviewer_name","review_date"
"76","legacy_hold","fl-curfew-violation","Curfew Violation","Minors prohibited in public places and establishments during certain hours; penalty; procedure","877.22","Fla. Stat. § 877.22","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0877/Sections/0877.22.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Minors prohibited in public places and establishments during certain hours; penalty; procedure"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 877.22 support the legacy label “Curfew Violation” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"77","legacy_hold","fl-trespass-after-warning","Trespass After Warning / Return After Ban","Trespass on property other than structure or conveyance","810.09","Fla. Stat. § 810.09","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0810/Sections/0810.09.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Trespass on property other than structure or conveyance"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 810.09 support the legacy label “Trespass After Warning / Return After Ban” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"78","legacy_hold","fl-defective-vehicle-equipment","Defective Vehicle Equipment / Broken Taillight","","316.234","Fla. Stat. § 316.234","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0316/Sections/0316.234.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 316.234, should record fl-defective-vehicle-equipment be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"79","legacy_hold","fl-truancy","Truancy / Chronic Absenteeism","","984.151","Fla. Stat. § 984.151","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0900-0999/0984/Sections/0984.151.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 984.151, should record fl-truancy be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"80","legacy_hold","fl-littering","Littering / Illegal Dumping","Florida Litter Law","403.413","Fla. Stat. § 403.413","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0400-0499/0403/Sections/0403.413.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Florida Litter Law"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 403.413 support the legacy label “Littering / Illegal Dumping” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"81","legacy_hold","fl-illegal-fireworks","Illegal Discharge of Fireworks","","791.01","Fla. Stat. § 791.01","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0791/Sections/0791.01.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 791.01, should record fl-illegal-fireworks be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"82","legacy_hold","fl-alcohol-in-park","Possession of Alcohol in Park / Prohibited Area","","562.12","Fla. Stat. § 562.12","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0500-0599/0562/Sections/0562.12.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 562.12, should record fl-alcohol-in-park be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"83","legacy_hold","fl-hunting-fishing-no-license","Fishing / Hunting Without a License","Recreational licenses, permits, and authorization numbers; fees established","379.354","Fla. Stat. § 379.354","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0379/Sections/0379.354.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Recreational licenses, permits, and authorization numbers; fees established"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 379.354 support the legacy label “Fishing / Hunting Without a License” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"84","legacy_hold","fl-criminal-attempt","Criminal Attempt","","MPC § 5.01 / FL attempt statute","Fla. Stat. § MPC § 5.01 / FL attempt statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § MPC § 5.01 / FL attempt statute, should record fl-criminal-attempt be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"85","legacy_hold","fl-conspiracy","Criminal Conspiracy","","MPC § 5.03 / FL conspiracy statute","Fla. Stat. § MPC § 5.03 / FL conspiracy statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § MPC § 5.03 / FL conspiracy statute, should record fl-conspiracy be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"86","legacy_hold","fl-aiding-and-abetting","Aiding and Abetting / Accomplice Liability","","MPC § 2.06 / FL accomplice statute","Fla. Stat. § MPC § 2.06 / FL accomplice statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § MPC § 2.06 / FL accomplice statute, should record fl-aiding-and-abetting be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"87","legacy_hold","fl-accessory-after-the-fact","Accessory After the Fact","","MPC § 2.07 / FL accessory statute","Fla. Stat. § MPC § 2.07 / FL accessory statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § MPC § 2.07 / FL accessory statute, should record fl-accessory-after-the-fact be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"88","legacy_hold","fl-attempted-murder","Attempted Murder","","FL attempted murder statute / MPC § 5.01","Fla. Stat. § FL attempted murder statute / MPC § 5.01","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL attempted murder statute / MPC § 5.01, should record fl-attempted-murder be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"89","legacy_hold","fl-attempted-robbery","Attempted Robbery","","FL attempted robbery statute / MPC § 5.01","Fla. Stat. § FL attempted robbery statute / MPC § 5.01","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL attempted robbery statute / MPC § 5.01, should record fl-attempted-robbery be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"90","legacy_hold","fl-attempted-sexual-assault","Attempted Sexual Assault","","FL attempted sexual assault statute / MPC § 5.01","Fla. Stat. § FL attempted sexual assault statute / MPC § 5.01","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL attempted sexual assault statute / MPC § 5.01, should record fl-attempted-sexual-assault be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"91","legacy_hold","fl-criminal-solicitation","Criminal Solicitation","","MPC § 5.02 / FL solicitation statute","Fla. Stat. § MPC § 5.02 / FL solicitation statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § MPC § 5.02 / FL solicitation statute, should record fl-criminal-solicitation be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"92","legacy_hold","fl-gang-enhancement","Criminal Street Gang Enhancement","","FL gang enhancement statute","Fla. Stat. § FL gang enhancement statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL gang enhancement statute, should record fl-gang-enhancement be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"93","legacy_hold","fl-hate-crime-enhancement","Hate Crime Enhancement","","FL hate crime statute","Fla. Stat. § FL hate crime statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL hate crime statute, should record fl-hate-crime-enhancement be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"94","legacy_hold","fl-recidivist-enhancement","Prior Felony / Recidivist Sentencing Enhancement","","FL habitual offender / recidivist statute","Fla. Stat. § FL habitual offender / recidivist statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL habitual offender / recidivist statute, should record fl-recidivist-enhancement be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"95","legacy_hold","fl-firearm-in-felony-enhancement","Use of a Firearm in Commission of a Felony","","FL firearm enhancement statute","Fla. Stat. § FL firearm enhancement statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL firearm enhancement statute, should record fl-firearm-in-felony-enhancement be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"96","legacy_hold","fl-drug-school-zone-enhancement","Drug Offense in a School Zone (Proximity Enhancement)","","FL drug-free school zone statute","Fla. Stat. § FL drug-free school zone statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL drug-free school zone statute, should record fl-drug-school-zone-enhancement be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"97","legacy_hold","fl-rico-organized-crime","RICO / Organized Crime (Racketeering)","","FL organized crime / racketeering statute","Fla. Stat. § FL organized crime / racketeering statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL organized crime / racketeering statute, should record fl-rico-organized-crime be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"98","legacy_hold","fl-money-laundering","Money Laundering","","FL money laundering statute","Fla. Stat. § FL money laundering statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL money laundering statute, should record fl-money-laundering be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"99","legacy_hold","fl-juvenile-delinquency-felony","Juvenile Delinquency Adjudication (Felony-Level Act)","Definitions","985.03(9)","Fla. Stat. § 985.03(9)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0900-0999/0985/Sections/0985.03.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Definitions"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 985.03(9) support the legacy label “Juvenile Delinquency Adjudication (Felony-Level Act)” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"100","legacy_hold","fl-juvenile-delinquency-misdemeanor","Juvenile Delinquency Adjudication (Misdemeanor-Level Act)","Definitions","985.03(9)","Fla. Stat. § 985.03(9)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0900-0999/0985/Sections/0985.03.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Definitions"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 985.03(9) support the legacy label “Juvenile Delinquency Adjudication (Misdemeanor-Level Act)” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"101","legacy_hold","fl-juvenile-transfer-adult-court","Juvenile Transfer to Adult Court (Waiver Hearing)","","FL Juvenile Court Act — transfer / waiver provisions","Fla. Stat. § FL Juvenile Court Act — transfer / waiver provisions","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL Juvenile Court Act — transfer / waiver provisions, should record fl-juvenile-transfer-adult-court be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"102","legacy_hold","fl-juvenile-firearm-possession","Juvenile Firearm Possession","","FL juvenile firearm possession statute","Fla. Stat. § FL juvenile firearm possession statute","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § FL juvenile firearm possession statute, should record fl-juvenile-firearm-possession be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"103","blocked_branch_authority","fl-fs-893-13-3-prohibited-acts-penalties","","","893.13(3)","Fla. Stat. § 893.13(3)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.13.html | https://www.flsenate.gov/Laws/Statutes/2026/381.986","held","sources_recovered_pending_exact_integration_and_review","Official 2026 Florida Senate source recovered; awaiting exact extraction of the medical-marijuana exclusion and boundaries, hash integration, integrity checks, and legal review.","Does current Fla. Stat. § 381.986 resolve every medical-marijuana exclusion applicable to the cannabis-specific § 893.13(3) delivery branch? Identify the exact paragraphs and any limits.","","","","Fla. Stat. § 381.986: https://www.flsenate.gov/Laws/Statutes/2026/381.986","","","",""
"104","blocked_branch_authority","fl-fs-893-147-7-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","","","893.147(7)","Fla. Stat. § 893.147(7)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.147.html | https://www.flsenate.gov/Laws/Statutes/2026/381.986 | https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title21-section802&num=0&edition=prelim | https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title21-section822&num=0&edition=prelim | https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title21-section830&num=0&edition=prelim","held","sources_recovered_pending_exact_integration_and_review","All four official source leads recovered; awaiting narrow subdivision extraction, cross-reference validation, reviewed-hash integration, integrity checks, and legal review. Federal OLRC pages are preliminary and represent law only through April 13, 2026 / Pub. L. 119-83, not the later retrieval date.","Do the current federal provisions and Fla. Stat. § 381.986 close the definitions, registration/compliance conditions, and licensing exception for § 893.147(7)? Identify exact incorporated scopes; do not approve a partial dependency set.","","","","Fla. Stat. § 381.986: https://www.flsenate.gov/Laws/Statutes/2026/381.986 | 21 U.S.C. § 802: https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title21-section802&num=0&edition=prelim | 21 U.S.C. § 822: https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title21-section822&num=0&edition=prelim | 21 U.S.C. § 830: https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title21-section830&num=0&edition=prelim","","","",""
"105","blocked_branch_authority","fl-fs-827-04-1-contributing-to-the-delinquency-or-dependency-of-a-child-penalty","","","827.04(1)","Fla. Stat. § 827.04(1)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0827/Sections/0827.04.html | https://www.flsenate.gov/Laws/Statutes/2026/39.01","held","sources_recovered_pending_exact_integration_and_review","Official 2026 Florida Senate source recovered; awaiting exact dependent-child definition extraction, nested-dependency review, hash integration, integrity checks, and legal review. Cached Fla. Stat. §§ 984.03 and 985.03 did not independently cure this dependency.","Does current Fla. Stat. § 39.01 supply the controlling dependent-child definition for § 827.04(1), including all relevant conditions and exceptions? Identify the exact subdivision(s).","","","","Fla. Stat. § 39.01: https://www.flsenate.gov/Laws/Statutes/2026/39.01","","","",""
