"ordinal","legacyId","legacyLabel","legacyCode","legacyCategory","classification","coverageExtent","existingExactRecordIds","existingExactCitations","proposedAction","attorneyQuestion","safeMechanical","evidenceCitations","evidenceSourceHashes","supportQuotes"
"53","fl-solicitation","Solicitation / Prostitution","796.07","misdemeanor","mechanical_correction","full","fl-fs-796-07-prohibiting-prostitution-and-related-acts","Fla. Stat. § 796.07","Retire the legacy row and route selection to fl-fs-796-07-prohibiting-prostitution-and-related-acts; preserve the source-first display name and exact code.","","true","Fla. Stat. § 796.07 | Fla. Stat. § 796.07","2db10ef8152b2810184e89cd93a4f35a3988589249c1d5a7016285d5b08814a7 | 2db10ef8152b2810184e89cd93a4f35a3988589249c1d5a7016285d5b08814a7","Prohibiting prostitution and related acts | 796.07 
Prohibiting prostitution and related acts.
—

(1) 
As used in this section:
(a) 
“Assignation” means the making of any appointment or engagement for prostitution or lewdness, or any act in furtherance of such appointment or engagement.

(b) 
“Female genitals” includes the labia minora, labia majora, clitoris, vulva, hymen, and vagina.

(c) 
“Lewdness” means any indecent or obscene act.

(d) 
“Prostitution” means the giving or receiving of the body for sexual activity for hire but excludes sexual activity between spouses.

(e) 
“Sexual activity” means oral, anal, or female genital penetration by, or union with, the sexual organ of another; anal or female genital penetration of anothe…"
"54","fl-driving-without-insurance","Driving Without Insurance","316.646","misdemeanor","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 316.646","885e2748b9ece7eb0add5f210aedc4b7be6001442c074e1908ab253c97570164","316.646 
Security required; proof of security and display thereof.
—

(1) 
Any person required by s. 324.022 to maintain property damage liability security, required by s. 324.023 to maintain liability security for bodily injury or death, or required by s. 627.733 to maintain personal injury protection security on a motor vehicle shall have in his or her immediate possession at all times while operating such motor vehicle proper proof of maintenance of the required security.
(a) 
Such proof shall be in a uniform paper or electronic format, as prescribed by the department, a valid insurance policy, an insurance policy binder, a certificate of insurance, or such other proof as may be prescrib…"
"55","fl-expired-registration","Driving with Expired Registration","320.07","misdemeanor","covered_by_existing_exact_record","partial","fl-fs-320-07-3-c-expiration-of-registration-renewal-required-penalties","Fla. Stat. § 320.07(3)(c)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 320.07(3)(c) | Fla. Stat. § 320.07","2c7ee3607c70a574be9d6f5e607919a251d653e481e55713a99ca1f1d405680d | 2c7ee3607c70a574be9d6f5e607919a251d653e481e55713a99ca1f1d405680d","Expiration of registration; renewal required; penalties | 320.07 
Expiration of registration; renewal required; penalties.
—

(1) 
The registration of a motor vehicle or mobile home expires at midnight on the last day of the registration or extended registration period, or for a motor vehicle or mobile home owner who is a natural person, at midnight on the owner’s birthday. A vehicle may not be operated on the roads of this state after expiration of the renewal period, or, for a natural person, at midnight on the owner’s birthday, unless the registration has been renewed according to law.

(2) 
Registration shall be renewed semiannually, annually, or biennially, as provided in this subsection, during the applicable renewal period, upon payment of…"
"56","fl-expired-inspection","Driving with Expired/No Inspection","316.610","misdemeanor","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 316.610","28b911fe02de71adf5ed413a7e4f3c2569a38642d199de945ba97810557d264a","316.610 
Safety of vehicle; inspection.
—

It is a violation of this chapter for any person to drive or move, or for the owner or his or her duly authorized representative to cause or knowingly permit to be driven or moved, on any highway any vehicle or combination of vehicles which is in such unsafe condition as to endanger any person or property, or which does not contain those parts or is not at all times equipped with such lamps and other equipment in proper condition and adjustment as required in this chapter, or which is equipped in any manner in violation of this chapter, or for any person to do any act forbidden or fail to perform any act required under this chapter.
(1) 
Any police…"
"57","fl-failure-to-pay-child-support","Criminal Nonsupport / Failure to Pay Child Support","827.06","misdemeanor","mechanical_correction","full","fl-fs-827-06-nonsupport-of-dependents","Fla. Stat. § 827.06(2)-(3)","Retire the legacy row and route selection to fl-fs-827-06-nonsupport-of-dependents; preserve the source-first display name and exact code.","","true","Fla. Stat. § 827.06(2)-(3) | Fla. Stat. § 827.06","b31c30167d25a0ad8dafaaf6086f2b1173a0a350945133f05c9eba7bb10111e0 | b31c30167d25a0ad8dafaaf6086f2b1173a0a350945133f05c9eba7bb10111e0","Nonsupport of dependents | 827.06 
Nonsupport of dependents.
—

(1) 
The Legislature finds that most parents want to support their children and remain connected to their families. The Legislature also finds that while many parents lack the financial resources and other skills necessary to provide that support, some parents willfully fail to provide support to their children even when they are aware of the obligation and have the ability to do so. The Legislature further finds that existing statutory provisions for civil enforcement of support have not proven sufficiently effective or efficient in gaining adequate support for all children. Recognizing that it is the public policy of this state that children shall be m…"
"58","fl-noise-violation","Noise Violation / Disturbing the Peace by Noise","877.03","misdemeanor","covered_by_existing_exact_record","partial","fl-fs-877-03-breach-of-the-peace-disorderly-conduct","Fla. Stat. § 877.03","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 877.03 | Fla. Stat. § 877.03","813f9375f538cb1c40f0079335c3c7a8447dbe82c71b8afb5120c1c439316e92 | 813f9375f538cb1c40f0079335c3c7a8447dbe82c71b8afb5120c1c439316e92","Breach of the peace; disorderly conduct | 877.03 
Breach of the peace; disorderly conduct.
—

Whoever commits such acts as are of a nature to corrupt the public morals, or outrage the sense of public decency, or affect the peace and quiet of persons who may witness them, or engages in brawling or fighting, or engages in such conduct as to constitute a breach of the peace or disorderly conduct, shall be guilty of a misdemeanor of the second degree, punishable as provided in s. 775.082 or s. 775.083.

History.
—
s. 1, ch. 59-325; s. 1147, ch. 71-136; s. 2, ch. 86-174."
"59","fl-indecent-exposure","Indecent Exposure / Public Urination","800.03","misdemeanor","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Indecent Exposure / Public Urination” represent?","false","Fla. Stat. § 800.03","df7bd7420beae7f4fb552d265df5376026e0868b93ea5c093f5717b2cb28a940","800.03 
Exposure of sexual organs.
—

(1) 
A person commits unlawful exposure of sexual organs by:
(a) 
Exposing or exhibiting his or her sexual organs in public or on the private premises of another, or so near thereto as to be seen from such private premises, in a vulgar or indecent manner; or

(b) 
Being naked in public in a vulgar or indecent manner.

(2)(a) 
Except as provided in paragraph (b), a violation of this section is a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083.

(b) 
A second or subsequent violation of this section is a felony of the third degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

(3) 
The exposure of sex…"
"60","fl-fake-id","Possession of Fake/Fraudulent ID","322.212","misdemeanor","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 322.212","ceb3bc7a9cd559c4dffac3ec691035c26b92c9c8ca13c06ab9c7a19c5a27455c","322.212 
Unauthorized possession of, and other unlawful acts in relation to, driver license or identification card.
—

(1) 
It is unlawful for any person to:
(a) 
Knowingly have in his or her possession or to display any blank, forged, stolen, fictitious, counterfeit, or unlawfully issued driver license or identification card or any instrument in the similitude of a driver license or identification card unless possession by such person has been duly authorized by the department;

(b) 
Knowingly have in his or her possession any instrument in the similitude of a driver license issued by the department or its duly authorized agents or those of any state or jurisdiction issuing licenses recogn…"
"61","fl-animal-at-large","Animal at Large / Leash Law Violation","767.01","misdemeanor","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 767.01","20f983d3e5a55899060ee6ee824d0017dd89c1c9071e49e342060fe7f7b8163a","767.01 
Dog owner’s liability for damages to persons, domestic animals, or livestock.
—

(1) 
A dog owner is liable for any damage done by the owner’s dog to a person or to any animal included in the definitions of “domestic animal” and “livestock” as provided by s. 585.01.

(2) 
If a dog owner has knowledge of the dog’s dangerous propensities, the owner must securely confine the dog in a proper enclosure as defined in s. 767.11.

History.
—
RS 2341; ch. 4979, 1901; GS 3142; RGS 4957; CGL 7044; s. 1, ch. 94-339; s. 48, ch. 2024-137; s. 2, ch. 2025-61."
"62","fl-animal-cruelty-misdemeanor","Animal Cruelty (Misdemeanor)","828.12(1)","misdemeanor","mechanical_correction","full","fl-fs-828-12-animal-cruelty","Fla. Stat. § 828.12(1)","Retire the legacy row and route selection to fl-fs-828-12-animal-cruelty; preserve the source-first display name and exact code.","","true","Fla. Stat. § 828.12(1) | Fla. Stat. § 828.12","979062d1f596a3a8319f65588fc94dcffe3b0044221cf79f59134b0bc1871cee | 979062d1f596a3a8319f65588fc94dcffe3b0044221cf79f59134b0bc1871cee","A person who unnecessarily overloads, overdrives, torments, deprives of necessary sustenance or shelter, or unnecessarily mutilates, or kills any animal, or causes the same to be done, or carries in or upon any vehicle, or otherwise, any animal in a cruel or inhumane manner, commits animal cruelty, a misdemeanor of the first degree, punishable as provided in s. 775.082 or by a fine of not more than $5,000, or both. | 828.12 
Cruelty to animals.
—

(1) 
A person who unnecessarily overloads, overdrives, torments, deprives of necessary sustenance or shelter, or unnecessarily mutilates, or kills any animal, or causes the same to be done, or carries in or upon any vehicle, or otherwise, any animal in a cruel or inhumane manner, commits animal cruelty, a misdemeanor of the first degree, punishable as provided in s. 775.082 or by a fine of not more than $5,000, or both.

(2) 
A person who intentionally commits an act to any animal, or a person who owns or has the custody or control of any animal and fails to act, which results in the cruel death, or excessive or repeated infliction of unnecessary pain or suffe…"
"63","fl-illegal-camping","Illegal Camping / Sleeping in Public","856.021","misdemeanor","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 856.021","03d918ac6fea866f7a21c3a11bfef7f9f673a24537dd8c55a41a01bf674b9001","856.021 
Loitering or prowling; penalty.
—

(1) 
It is unlawful for any person to loiter or prowl in a place, at a time or in a manner not usual for law-abiding individuals, under circumstances that warrant a justifiable and reasonable alarm or immediate concern for the safety of persons or property in the vicinity.

(2) 
Among the circumstances which may be considered in determining whether such alarm or immediate concern is warranted is the fact that the person takes flight upon appearance of a law enforcement officer, refuses to identify himself or herself, or manifestly endeavors to conceal himself or herself or any object. Unless flight by the person or other circumstance makes it impr…"
"64","fl-panhandling","Panhandling / Aggressive Solicitation","856.021","misdemeanor","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 856.021","03d918ac6fea866f7a21c3a11bfef7f9f673a24537dd8c55a41a01bf674b9001","856.021 
Loitering or prowling; penalty.
—

(1) 
It is unlawful for any person to loiter or prowl in a place, at a time or in a manner not usual for law-abiding individuals, under circumstances that warrant a justifiable and reasonable alarm or immediate concern for the safety of persons or property in the vicinity.

(2) 
Among the circumstances which may be considered in determining whether such alarm or immediate concern is warranted is the fact that the person takes flight upon appearance of a law enforcement officer, refuses to identify himself or herself, or manifestly endeavors to conceal himself or herself or any object. Unless flight by the person or other circumstance makes it impr…"
"65","fl-unregistered-vehicle","Operating Unregistered / Uninsured Vehicle","320.02","misdemeanor","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 320.02","5bc24b280611ec2a72ddd6277bdf86e313141c9c5c625efe4c2cc2d5f7871006","320.02 
Registration required; application for registration; forms.
—

(1) 
Except as otherwise provided in this chapter, every owner or person in charge of a motor vehicle that is operated or driven on the roads of this state shall register the vehicle in this state. The owner or person in charge shall apply to the department or to its authorized agent for registration of each such vehicle on a form prescribed by the department. A registration is not required for any motor vehicle that is not operated on the roads of this state during the registration period.

(2)(a) 
The application for registration must include the street address of the owner’s permanent Florida residence or the address…"
"66","fl-curfew-violation","Curfew Violation","877.22","misdemeanor","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 877.22","c1bd6dabfacb0eccfa3d83e3077360676d150b6a352a67c3161b447ba7ba4daf","877.22 
Minors prohibited in public places and establishments during certain hours; penalty; procedure.
—

(1)(a) 
A minor may not be or remain in a public place or establishment between the hours of 11:00 p.m. and 5:00 a.m. of the following day, Sunday through Thursday, except in the case of a legal holiday.

(b) 
A minor may not be or remain in a public place or establishment between the hours of 12:01 a.m. and 6:00 a.m. on Saturdays, Sundays, and legal holidays.

(2) 
A minor who has been suspended or expelled from school may not be or remain in a public place, in an establishment, or within 1,000 feet of a school during the hours of 9:00 a.m. to 2:00 p.m. during any school day.

(3) 
A…"
"67","fl-trespass-after-warning","Trespass After Warning / Return After Ban","810.09","misdemeanor","mechanical_correction","full","fl-fs-810-09-trespass-on-property-other-than-structure-or-conveyance","Fla. Stat. § 810.09(1)-(2)","Retire the legacy row and route selection to fl-fs-810-09-trespass-on-property-other-than-structure-or-conveyance; preserve the source-first display name and exact code.","","true","Fla. Stat. § 810.09(1)-(2) | Fla. Stat. § 810.09","8d5da32e2029d8936090727630db84c1aadf8b060e51fce3d24001b864d671ec | 8d5da32e2029d8936090727630db84c1aadf8b060e51fce3d24001b864d671ec","Trespass on property other than structure or conveyance | 810.09 
Trespass on property other than structure or conveyance.
—

(1)(a) 
A person who, without being authorized, licensed, or invited, willfully enters upon or remains in any property other than a structure or conveyance:
1. 
As to which notice against entering or remaining is given, either by actual communication to the offender or by posting, fencing, or cultivation as described in s. 810.011; or

2. 
If the property is the unenclosed curtilage of a dwelling and the offender enters or remains with the intent to commit an offense thereon, other than the offense of trespass,

commits the offense of trespass on property other than a structure or conveyance.

(b) 
As used in this section,…"
"68","fl-defective-vehicle-equipment","Defective Vehicle Equipment / Broken Taillight","316.234","infraction","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 316.234","0d38ee95a9c6ae49e2530e7c2ec5e0a29f506cc988eb0f83069a391028b8154a","316.234 
Signal lamps and signal devices.
—

(1) 
Any vehicle may be equipped and, when required under this chapter, shall be equipped with a stop lamp or lamps on the rear of the vehicle which shall display a red or amber light, visible from a distance of not less than 300 feet to the rear in normal sunlight, and which shall be actuated upon application of the service (foot) brake, and which may but need not be incorporated with one or more other rear lamps. An object, material, or covering that alters the stop lamp’s visibility from 300 feet to the rear in normal sunlight may not be placed, displayed, installed, affixed, or applied over a stop lamp.

(2) 
Any vehicle may be equipped and,…"
"69","fl-truancy","Truancy / Chronic Absenteeism","984.151","misdemeanor","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 984.151","0d302f534f73038aad52e11e5f2ed06b8d4647c44a162cf7f45101f99b9cabb7","984.151 
Early truancy intervention; truancy petition; judgment.
—

(1) 
If the school determines that a student subject to compulsory school attendance has had at least five unexcused absences, or absences for which the reasons are unknown, within a calendar month or 10 unexcused absences, or absences for which the reasons are unknown, within a 90-calendar-day period pursuant to s. 1003.26(1)(b), or has had more than 15 unexcused absences in a 90-calendar-day period, the superintendent of schools or his or her designee may file a truancy petition seeking early truancy intervention.

(2) 
The petition shall be filed in the circuit in which the student is enrolled in school.

(3) 
Original j…"
"70","fl-littering","Littering / Illegal Dumping","403.413","misdemeanor","covered_by_existing_exact_record","partial","fl-fs-403-413-6-b-florida-litter-law","Fla. Stat. § 403.413(6)(b)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 403.413(6)(b) | Fla. Stat. § 403.413","e777e643a98637b909a7a82e1e0fd6a42935addcb8817ba04ea9bd81e0e6e702 | e777e643a98637b909a7a82e1e0fd6a42935addcb8817ba04ea9bd81e0e6e702","Florida Litter Law | 403.413 
Florida Litter Law.
—

(1) 
SHORT TITLE.—
This section may be cited as the “Florida Litter Law.”

(2) 
DEFINITIONS.—
As used in this section:
(a) 
“Aircraft” means a motor vehicle or other vehicle that is used or designed to fly but does not include a parachute or any other device used primarily as safety equipment.

(b) 
“Commercial purpose” means for the purpose of economic gain.

(c) 
“Commercial vehicle” means a vehicle that is owned or used by a business, corporation, association, partnership, or sole proprietorship or any other entity conducting business for a commercial purpose.

(d) 
“Dump” means to dump, throw, discard, place, deposit, drain, discharge, or dispose of. The…"
"71","fl-illegal-fireworks","Illegal Discharge of Fireworks","791.01","misdemeanor","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 791.01","ded196efa1e22b9b4d06cbb397f0ef5aafc9fe3864be505bb718af56d6f56b7d","791.01 
Definitions.
—

As used in this chapter, the term:
(1) 
“Distributor” means any person engaged in the business of selling sparklers to a wholesaler.

(2) 
“Division” means the Division of the State Fire Marshal of the Department of Financial Services.

(3) 
“Explosive compound” means any chemical compound, mixture, or device the primary or common purpose of which is to function by the substantially instantaneous release of gas and heat.

(4)(a) 
“Fireworks” means and includes any combustible or explosive composition or substance or combination of substances or, except as hereinafter provided, any article prepared for the purpose of producing a visible or audible effect by combustion…"
"72","fl-alcohol-in-park","Possession of Alcohol in Park / Prohibited Area","562.12","misdemeanor","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 562.12","a3302039cc0f2923e07ba9090646b44914ee11d704fe2c6185f51cbbbfe4f32b","562.12 
Beverages sold with improper license, or without license or registration, or held with intent to sell prohibited.
—

(1)(a) 
It is unlawful for any person to sell alcoholic beverages without a license, and it is unlawful for any licensee to sell alcoholic beverages except as permitted by her or his license, or to sell such beverages in any manner except that permitted by her or his license; and any licensee or other person who keeps or possesses alcoholic beverages not permitted to be sold by her or his license, or not permitted to be sold without a license, with intent to sell or dispose of same unlawfully, commits a misdemeanor of the second degree, punishable as provided in s. 77…"
"73","fl-hunting-fishing-no-license","Fishing / Hunting Without a License","379.354","misdemeanor","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 379.354","232b9728dcc526a75a9e0eebff726e9fd144a3680df6f02b7f8af3aebdb79581","379.354 
Recreational licenses, permits, and authorization numbers; fees established.
—

(1) 
LICENSE, PERMIT, OR AUTHORIZATION NUMBER REQUIRED.—
Except as provided in s. 379.353, no person shall take game, freshwater or saltwater fish, or fur-bearing animals within this state without having first obtained a license, permit, or authorization number and paid the fees set forth in this chapter. Such license, permit, or authorization number shall authorize the person to whom it is issued to take game, freshwater or saltwater fish, or fur-bearing animals, and participate in outdoor recreational activities in accordance with the laws of the state and rules of the commission.

(2) 
NONTRANSFERABI…"
"74","fl-criminal-attempt","Criminal Attempt","MPC § 5.01 / FL attempt statute","felony","mechanical_correction","full","fl-fs-777-04-1-criminal-attempt","Fla. Stat. § 777.04(1)","Retire the legacy row and route selection to fl-fs-777-04-1-criminal-attempt; preserve the source-first display name and exact code.","","true","Fla. Stat. § 777.04(1)","b0d68f606bbdb97a028ac1daf5fb72d6774fa097619dae5eee7fcc4ddb70208d","commits the offense of criminal attempt"
"75","fl-conspiracy","Criminal Conspiracy","MPC § 5.03 / FL conspiracy statute","felony","mechanical_correction","full","fl-fs-777-04-3-criminal-conspiracy","Fla. Stat. § 777.04(3)","Retire the legacy row and route selection to fl-fs-777-04-3-criminal-conspiracy; preserve the source-first display name and exact code.","","true","Fla. Stat. § 777.04(3)","b0d68f606bbdb97a028ac1daf5fb72d6774fa097619dae5eee7fcc4ddb70208d","commits the offense of criminal conspiracy"
"76","fl-aiding-and-abetting","Aiding and Abetting / Accomplice Liability","MPC § 2.06 / FL accomplice statute","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Which current Florida principal/accessory provision and liability model should replace the MPC placeholder?","false","MPC § 2.06 / FL accomplice statute","c096aa9b8595bf932ed316e5b8ed69dc29433dadf6f67108fdbea60ee724d200","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"77","fl-accessory-after-the-fact","Accessory After the Fact","MPC § 2.07 / FL accessory statute","felony","mechanical_correction","full","fl-fs-777-03-accessory-after-the-fact","Fla. Stat. § 777.03","Retire the legacy row and route selection to fl-fs-777-03-accessory-after-the-fact; preserve the source-first display name and exact code.","","true","Fla. Stat. § 777.03","f3042356d8a93432783f06ac32509bb4841877c64c66ddc856d0fbb82e6846f9","Accessory after the fact"
"78","fl-attempted-murder","Attempted Murder","FL attempted murder statute / MPC § 5.01","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Should attempt-plus-predicate combinations be generated dynamically rather than stored as standalone charges?","false","FL attempted murder statute / MPC § 5.01","583e44f6ae771c876621934aff5cfb7b036aaf960fed6810cad690a8b40caf8e","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"79","fl-attempted-robbery","Attempted Robbery","FL attempted robbery statute / MPC § 5.01","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Should attempt-plus-predicate combinations be generated dynamically rather than stored as standalone charges?","false","FL attempted robbery statute / MPC § 5.01","e91a8b706903edefab6405a05da72dc445d6ed53645f7e591159c9b1de8d925c","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"80","fl-attempted-sexual-assault","Attempted Sexual Assault","FL attempted sexual assault statute / MPC § 5.01","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Which exact Florida sexual-battery predicate and attempt grade does this label intend?","false","FL attempted sexual assault statute / MPC § 5.01","51d3861b37af9a331c0fd4607f1b094469df3463931ee4c1d772d9164c3eb1bd","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"81","fl-criminal-solicitation","Criminal Solicitation","MPC § 5.02 / FL solicitation statute","felony","mechanical_correction","full","fl-fs-777-04-2-criminal-solicitation","Fla. Stat. § 777.04(2)","Retire the legacy row and route selection to fl-fs-777-04-2-criminal-solicitation; preserve the source-first display name and exact code.","","true","Fla. Stat. § 777.04(2)","b0d68f606bbdb97a028ac1daf5fb72d6774fa097619dae5eee7fcc4ddb70208d","commits the offense of criminal solicitation"
"82","fl-gang-enhancement","Criminal Street Gang Enhancement","FL gang enhancement statute","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","FL gang enhancement statute","6d27207bf7282e1f6eac484fe8c7452599b96d0369ebbe2ab5b79330d44a8176","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"83","fl-hate-crime-enhancement","Hate Crime Enhancement","FL hate crime statute","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","FL hate crime statute","150bba03a81213e48b8a5b37baaa82f784891b6417cf44144357162f3af73dc6","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"84","fl-recidivist-enhancement","Prior Felony / Recidivist Sentencing Enhancement","FL habitual offender / recidivist statute","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","FL habitual offender / recidivist statute","fa856bd8db9815e973a09ddee5d86d0acf09aa9ca4bcd6b6b0c60656f586555e","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"85","fl-firearm-in-felony-enhancement","Use of a Firearm in Commission of a Felony","FL firearm enhancement statute","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","FL firearm enhancement statute","cc80973b97a823db998916a0ccdb67d4079adc6f1daafb8444f1b54ef19bacc1","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"86","fl-drug-school-zone-enhancement","Drug Offense in a School Zone (Proximity Enhancement)","FL drug-free school zone statute","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","FL drug-free school zone statute","528f8d24e3639e67485a45f2ac794b87099a56f586860ae9f4d5566a2146c076","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"87","fl-rico-organized-crime","RICO / Organized Crime (Racketeering)","FL organized crime / racketeering statute","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “RICO / Organized Crime (Racketeering)” represent?","false","FL organized crime / racketeering statute","eae8b64d58d62ca9b5ca64302a24c3ee36d20df098ae3788dd6aaea92b6f0b5d","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"88","fl-money-laundering","Money Laundering","FL money laundering statute","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Money Laundering” represent?","false","FL money laundering statute","631fce6f40cf7c1581d3b6200e230a2ff0ec85dc54d1c156f588b5acea5d7e06","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"89","fl-juvenile-delinquency-felony","Juvenile Delinquency Adjudication (Felony-Level Act)","985.03(9)","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 985.03","dabe0f1862c073fc46de5a64c8e5776720d4047cac3728ac5b9d967c6ccf7826","985.03 
Definitions.
—

As used in this chapter, the term:
(1) 
“Abscond” means to hide, conceal, or absent oneself from the jurisdiction of the court or supervision of the department to avoid prosecution or supervision.

(2) 
“Addictions receiving facility” means a substance abuse service provider as defined in chapter 397.

(3) 
“Adjudicatory hearing” means a hearing for the court to determine whether or not the facts support the allegations stated in the petition, as is provided for under s. 985.35 in delinquency cases.

(4) 
“Adult” means any natural person other than a child.

(5) 
“Arbitration” means a process whereby a neutral third person or panel, called an arbitrator or an arbitra…"
"90","fl-juvenile-delinquency-misdemeanor","Juvenile Delinquency Adjudication (Misdemeanor-Level Act)","985.03(9)","misdemeanor","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","Fla. Stat. § 985.03","dabe0f1862c073fc46de5a64c8e5776720d4047cac3728ac5b9d967c6ccf7826","985.03 
Definitions.
—

As used in this chapter, the term:
(1) 
“Abscond” means to hide, conceal, or absent oneself from the jurisdiction of the court or supervision of the department to avoid prosecution or supervision.

(2) 
“Addictions receiving facility” means a substance abuse service provider as defined in chapter 397.

(3) 
“Adjudicatory hearing” means a hearing for the court to determine whether or not the facts support the allegations stated in the petition, as is provided for under s. 985.35 in delinquency cases.

(4) 
“Adult” means any natural person other than a child.

(5) 
“Arbitration” means a process whereby a neutral third person or panel, called an arbitrator or an arbitra…"
"91","fl-juvenile-transfer-adult-court","Juvenile Transfer to Adult Court (Waiver Hearing)","FL Juvenile Court Act — transfer / waiver provisions","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","FL Juvenile Court Act — transfer / waiver provisions","fa51bcde05637c793a4f08db58de703b60c86a6f06ced146dc08ba5ef22e177b","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"92","fl-juvenile-firearm-possession","Juvenile Firearm Possession","FL juvenile firearm possession statute","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Which exact substantive firearm provision is intended, rather than an uncited juvenile-status label?","false","FL juvenile firearm possession statute","8322e6a2bf669d2142fc173c84527fd884a5ec5ac2c3f3936cd777b80c2174a7","The catalog code does not exactly support every cited Florida statutory section and subdivision."
